Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,34.125000,34.208332,34.104168,34.145832,22.047321,4200
2000-07-31,34.114582,34.354168,34.114582,34.354168,22.181852,7500
2000-08-01,34.645832,34.697918,34.645832,34.697918,22.403786,2400
2000-08-02,34.750000,34.890625,34.750000,34.890625,22.528225,1500
2000-08-03,34.604168,34.958332,34.604168,34.958332,22.571941,45300
2000-08-04,35.041668,35.166668,34.906250,35.125000,22.679558,68100
2000-08-07,35.244793,35.411457,35.244793,35.411457,22.864517,6600
2000-08-08,35.406250,35.515625,35.406250,35.463543,22.898146,1800
2000-08-09,35.578125,35.614582,35.401043,35.401043,22.857794,3000
2000-08-10,35.333332,35.333332,35.333332,35.333332,22.814074,2700
2000-08-11,35.270832,35.270832,35.270832,35.270832,22.773712,600
2000-08-14,35.802082,36.062500,35.802082,36.062500,23.284885,1500
2000-08-15,36.036457,36.036457,35.750000,35.750000,23.083109,5400
2000-08-16,35.833332,35.916668,35.833332,35.854168,23.150356,5400
2000-08-17,35.802082,36.020832,35.802082,36.020832,23.257977,1200
2000-08-18,36.020832,36.020832,36.020832,36.020832,23.257977,0
2000-08-21,35.791668,35.791668,35.781250,35.781250,23.103289,3000
2000-08-22,35.812500,35.812500,35.812500,35.812500,23.123461,600
2000-08-23,35.796875,35.796875,35.796875,35.796875,23.113375,300
2000-08-24,35.786457,35.854168,35.786457,35.854168,23.150356,900
2000-08-25,35.916668,35.916668,35.833332,35.895832,23.177269,20100
2000-08-28,35.989582,35.989582,35.843750,35.843750,23.143644,9000
2000-08-29,35.864582,36.020832,35.864582,36.020832,23.257977,15000
2000-08-30,35.973957,36.015625,35.916668,36.015625,23.254610,37500
2000-08-31,36.208332,36.208332,36.208332,36.208332,23.379034,12300
2000-09-01,36.322918,36.390625,36.270832,36.270832,23.419403,32100
2000-09-05,36.369793,36.369793,36.270832,36.270832,23.419403,11400
2000-09-06,36.270832,36.541668,36.260418,36.500000,23.567364,127800
2000-09-07,36.619793,36.812500,36.583332,36.812500,23.769131,47700
2000-09-08,36.750000,36.770832,36.604168,36.604168,23.634621,12600
2000-09-11,36.739582,36.916668,36.718750,36.781250,23.748964,28200
2000-09-12,36.812500,36.817707,36.708332,36.708332,23.701878,6900
2000-09-13,36.895832,36.895832,36.630207,36.812500,23.769131,73200
2000-09-14,36.833332,36.916668,36.755207,36.916668,23.836405,8100
2000-09-15,36.614582,36.666668,36.458332,36.458332,23.540461,46500
2000-09-18,36.333332,36.333332,35.833332,35.838543,23.140276,34200
2000-09-19,35.843750,35.843750,35.666668,35.812500,23.123461,4800
2000-09-20,35.625000,35.838543,35.625000,35.645832,23.101864,116400
2000-09-21,35.760418,35.760418,35.541668,35.541668,23.034357,4200
2000-09-22,34.791668,35.354168,34.791668,35.354168,22.912828,13200
2000-09-25,35.458332,35.458332,35.270832,35.270832,22.858824,16500
2000-09-26,35.270832,35.270832,35.229168,35.229168,22.831816,15900
2000-09-27,35.104168,35.239582,35.104168,35.239582,22.838570,4800
2000-09-28,35.239582,35.239582,35.239582,35.239582,22.838570,0
2000-09-29,35.947918,36.000000,35.947918,36.000000,23.331392,3900
2000-10-02,35.958332,35.958332,35.770832,35.770832,23.182867,3300
2000-10-03,35.645832,35.645832,35.479168,35.479168,22.993847,1200
2000-10-04,35.395832,35.401043,35.333332,35.401043,22.943207,1500
2000-10-05,35.401043,35.401043,35.401043,35.401043,22.943207,0
2000-10-06,35.125000,35.125000,35.093750,35.093750,22.744070,900
2000-10-09,34.989582,34.989582,34.812500,34.822918,22.568546,2400
2000-10-10,34.979168,34.979168,34.541668,34.541668,22.386257,5400
2000-10-11,34.447918,34.458332,34.187500,34.291668,22.224222,164100
2000-10-12,34.312500,34.312500,33.562500,33.729168,21.859680,105300
2000-10-13,33.708332,34.458332,33.708332,34.458332,22.332247,157800
2000-10-16,34.354168,34.479168,34.354168,34.479168,22.345753,8100
2000-10-17,34.312500,34.312500,33.666668,33.666668,21.819178,2400
2000-10-18,33.166668,33.541668,33.166668,33.541668,21.738167,8400
2000-10-19,33.833332,34.166668,33.791668,34.166668,22.143225,47700
2000-10-20,34.291668,34.369793,34.291668,34.369793,22.274870,7500
2000-10-23,34.375000,34.427082,34.291668,34.427082,22.311987,4800
2000-10-24,34.406250,34.406250,34.406250,34.406250,22.298479,300
2000-10-25,34.286457,34.333332,34.083332,34.083332,22.089216,3900
2000-10-26,34.083332,34.166668,33.937500,34.166668,22.143225,3300
2000-10-27,34.447918,34.619793,34.447918,34.604168,22.426758,13200
2000-10-30,34.625000,35.166668,34.625000,35.166668,22.791319,3600
2000-10-31,35.322918,35.708332,35.322918,35.708332,23.142359,8100
2000-11-01,35.729168,35.729168,35.583332,35.604168,23.074854,9000
2000-11-02,35.916668,36.104168,35.916668,36.104168,23.398905,6300
2000-11-03,36.145832,36.145832,36.000000,36.125000,23.412405,433500
2000-11-06,36.145832,36.145832,35.937500,35.937500,23.290880,61500
2000-11-07,35.937500,36.104168,35.875000,36.104168,23.398905,45000
2000-11-08,36.020832,36.312500,36.020832,36.166668,23.439396,70800
2000-11-09,35.875000,35.875000,35.427082,35.812500,23.209871,53400
2000-11-10,35.760418,35.833332,35.291668,35.333332,22.899328,5700
