Date,Dividends
1995-01-25,0.011111
1995-04-25,0.016667
1995-07-28,0.016667
1995-10-27,0.016667
1996-01-29,0.016667
1996-04-26,0.016667
1996-07-29,0.017778
1996-10-29,0.017778
1997-01-29,0.017778
1997-04-28,0.017778
1997-07-29,0.017778
1997-10-29,0.017778
1998-01-28,0.017778
1998-04-28,0.017778
1998-07-29,0.017778
1998-10-28,0.017778
1999-01-29,0.017778
1999-04-28,0.017778
1999-08-04,0.017778
1999-10-27,0.017778
2000-01-26,0.017778
2000-04-26,0.017778
2000-07-26,0.017778
2000-10-25,0.017778
2001-01-29,0.017778
2001-04-26,0.017778
2001-07-27,0.026667
2001-10-29,0.026667
2002-01-29,0.026667
2002-04-26,0.026667
2002-07-29,0.035556
2002-10-29,0.035556
2003-01-29,0.035556
2003-04-28,0.035556
2003-07-29,0.044444
2003-10-29,0.044444
2004-01-28,0.044444
2004-04-28,0.044444
2004-07-29,0.053333
2004-10-28,0.053333
2005-01-27,0.053333
2005-04-28,0.053333
2005-08-02,0.062222
2005-11-01,0.071111
2006-01-31,0.071111
2006-05-02,0.071111
2006-08-01,0.080000
2006-10-31,0.088889
2007-01-30,0.088889
2007-05-01,0.088889
2007-07-31,0.097778
2007-10-30,0.097778
2008-01-30,0.097778
2008-04-29,0.097778
2008-07-29,0.097778
2008-10-28,0.097778
2009-02-03,0.097778
2009-04-28,0.097778
2009-07-28,0.097778
2009-10-29,0.097778
2010-02-02,0.100000
2010-04-28,0.100000
2010-08-03,0.100000
2010-11-02,0.100000
2011-02-02,0.100000
2011-05-03,0.110000
2011-08-02,0.110000
2011-11-01,0.110000
2012-01-31,0.120000
2012-05-01,0.120000
2012-07-31,0.120000
2012-10-31,0.120000
2012-12-13,0.120000
2013-04-30,0.240000
2013-07-30,0.130000
2013-10-29,0.130000
2014-01-30,0.230000
2014-04-29,1.130000
2014-07-29,0.130000
2014-10-23,0.130000
2015-02-03,0.140000
2015-04-28,0.140000
2015-07-28,0.140000
2015-11-03,0.140000
2016-02-02,0.150000
2016-04-28,0.150000
2016-08-02,0.150000
2016-11-01,0.150000
2017-01-31,0.160000
2017-05-02,0.160000
2017-08-01,0.160000
2017-11-01,0.160000
2018-01-31,0.170000
2018-05-02,0.170000
2018-08-01,0.170000
2018-10-31,0.170000
2019-01-31,0.180000
2019-05-01,0.180000
2019-07-31,0.180000
2019-10-31,0.180000
2020-02-05,0.190000
2020-05-06,0.190000
2020-08-05,0.190000
2020-11-04,0.190000
2021-02-03,0.190000
2021-05-05,0.200000
2021-08-04,0.200000
2021-11-04,0.200000
2022-02-02,0.200000
2022-05-04,0.200000
2022-08-03,0.200000
2022-11-02,0.200000
2023-02-01,0.200000
2023-05-03,0.200000
