Date,Dividends
2009-12-24,0.169000
2010-01-29,0.127000
2010-02-26,0.127000
2010-03-31,0.171000
2010-04-30,0.132000
2010-05-28,0.159000
2010-06-30,0.142000
2010-07-30,0.161000
2010-08-31,0.152000
2010-09-30,0.154000
2010-10-29,0.156000
2010-11-30,0.148000
2010-12-27,0.226000
2011-01-31,0.144000
2011-02-28,0.135000
2011-03-31,0.167000
2011-04-29,0.141000
2011-05-31,0.154000
2011-06-30,0.149000
2011-07-29,0.157000
2011-08-31,0.147000
2011-09-30,0.149000
2011-10-31,0.153000
2011-11-30,0.149000
2011-12-23,0.248000
2012-01-31,0.146000
2012-02-29,0.143000
2012-03-30,0.153000
2012-04-30,0.144000
2012-05-31,0.152000
2012-06-29,0.148000
2012-07-31,0.151000
2012-08-31,0.145000
2012-09-28,0.139000
2012-11-02,0.136000
2012-11-30,0.132000
2012-12-24,0.249000
2013-01-31,0.128000
2013-02-28,0.121000
2013-03-28,0.136000
2013-04-30,0.115000
2013-05-31,0.122000
2013-06-28,0.119000
2013-07-31,0.122000
2013-08-30,0.115000
2013-09-30,0.120000
2013-10-31,0.122000
2013-11-29,0.119000
2013-12-24,0.298000
2014-02-03,0.115000
2014-03-03,0.119000
2014-04-01,0.128000
2014-05-01,0.118000
2014-06-02,0.122000
2014-07-01,0.119000
2014-08-01,0.121000
2014-09-02,0.114000
2014-10-01,0.122000
2014-11-03,0.125000
2014-12-01,0.118000
2014-12-23,0.277000
2015-02-02,0.116000
2015-03-02,0.124000
2015-04-01,0.134000
2015-05-01,0.124000
2015-06-01,0.128000
2015-07-01,0.128000
2015-08-03,0.131000
2015-09-01,0.128000
2015-10-01,0.132000
2015-12-01,0.133000
2015-12-23,0.230000
2016-02-01,0.111000
2016-03-01,0.135000
2016-04-01,0.140000
2016-05-02,0.137000
2016-06-01,0.144000
2016-07-01,0.144000
2016-08-01,0.143000
2016-09-01,0.140000
2016-10-03,0.140000
2016-11-01,0.137000
2016-12-01,0.136000
2016-12-22,0.162000
2017-02-01,0.119000
2017-03-01,0.140000
2017-04-03,0.150000
2017-05-01,0.147000
2017-06-01,0.150000
2017-07-03,0.149000
2017-08-01,0.151000
2017-09-01,0.151000
2017-10-02,0.152000
2017-11-01,0.153000
2017-12-01,0.153000
2017-12-26,0.173000
2018-02-01,0.143000
2018-03-01,0.142000
2018-04-02,0.183000
2018-05-01,0.158000
2018-06-01,0.174000
2018-07-02,0.165000
2018-08-01,0.180000
2018-09-04,0.174000
2018-10-01,0.174000
2018-11-01,0.190000
2018-12-03,0.178000
2018-12-24,0.205000
2019-02-01,0.169000
2019-03-01,0.174000
2019-04-01,0.215000
2019-05-01,0.191000
2019-06-03,0.207000
2019-07-01,0.192000
2019-08-01,0.207000
2019-09-03,0.196000
2019-10-01,0.189000
2019-11-01,0.200000
2019-12-02,0.183000
2019-12-23,0.203000
2020-02-03,0.186000
2020-03-02,0.162000
2020-04-01,0.202000
2020-05-01,0.169000
2020-06-01,0.174000
2020-07-01,0.152000
2020-08-03,0.158000
2020-09-01,0.144000
2020-10-01,0.141000
2020-11-02,0.140000
2020-12-01,0.129000
2020-12-23,0.131000
2021-02-01,0.125000
2021-03-01,0.109000
2021-04-01,0.116000
2021-05-03,0.107000
2021-06-01,0.110000
2021-07-01,0.103000
2021-08-02,0.108000
2021-09-01,0.106000
2021-10-01,0.108000
2021-11-01,0.101000
2021-12-01,0.099000
2021-12-23,0.282000
2022-02-01,0.099000
2022-03-01,0.092000
2022-04-01,0.106000
2022-05-02,0.108000
2022-06-01,0.116000
2022-07-01,0.118000
2022-08-01,0.127000
2022-09-01,0.136000
2022-10-03,0.144000
2022-11-01,0.148000
2022-12-01,0.150000
2022-12-23,0.169000
2023-02-01,0.172000
2023-03-01,0.164000
2023-04-03,0.191000
2023-05-01,0.183000
2023-06-01,0.195000
2023-07-03,0.192000
