Date,Dividends
2004-12-22,0.300000
2005-03-03,0.300000
2005-06-28,0.320000
2005-09-14,0.340000
2005-12-20,0.340000
2006-03-22,0.360000
2006-06-13,0.380000
2006-09-13,0.400000
2006-12-13,0.500000
2007-03-15,0.410000
2007-06-13,0.410000
2007-09-12,0.420000
2007-12-12,0.420000
2008-03-13,0.420000
2008-06-12,0.420000
2008-09-11,0.420000
2008-12-11,0.420000
2009-03-12,0.420000
2009-06-11,0.350000
2009-09-11,0.350000
2009-12-11,0.350000
2010-03-11,0.350000
2010-06-11,0.350000
2010-09-13,0.350000
2010-12-13,0.350000
2011-03-11,0.350000
2011-06-13,0.350000
2011-09-13,0.350000
2011-12-13,0.360000
2012-03-13,0.370000
2012-06-13,0.370000
2012-09-12,0.430000
2012-12-12,0.430000
2013-03-13,0.380000
2013-06-12,0.380000
2013-09-12,0.380000
2013-12-12,0.430000
2014-03-12,0.430000
2014-06-12,0.380000
2014-09-11,0.380000
2014-12-11,0.380000
2015-03-11,0.430000
2015-06-11,0.380000
2015-09-11,0.380000
2015-12-11,0.380000
2016-03-11,0.380000
2016-06-13,0.380000
2016-09-13,0.380000
2016-12-13,0.380000
2017-03-13,0.380000
2017-06-13,0.380000
2017-09-14,0.380000
2017-12-14,0.380000
2018-03-14,0.380000
2018-06-14,0.380000
2018-09-13,0.390000
2018-12-13,0.390000
2019-03-14,0.420000
2019-06-13,0.420000
2019-09-13,0.420000
2019-12-13,0.420000
2020-03-13,0.400000
2020-06-12,0.400000
2020-09-14,0.400000
2020-12-14,0.400000
2021-03-12,0.400000
2021-06-14,0.400000
2021-09-14,0.410000
2021-12-14,0.410000
2022-03-14,0.450000
2022-06-14,0.450000
2022-09-14,0.460000
2022-12-14,0.510000
2023-03-14,0.480000
2023-06-14,0.480000
