Date,Dividends
1981-02-02,0.112500
1981-05-08,0.150000
1981-08-10,0.150000
1981-11-06,0.150000
1982-02-05,0.150000
1982-05-10,0.162500
1982-08-09,0.162500
1982-11-05,0.162500
1983-02-07,0.162500
1983-05-09,0.162500
1983-08-08,0.162500
1983-11-04,0.162500
1984-02-07,0.162500
1984-05-14,0.162500
1984-08-20,0.162500
1984-11-13,0.175000
1985-02-13,0.175000
1985-05-13,0.175000
1985-08-13,0.175000
1985-11-13,0.175000
1986-02-12,0.175000
1986-05-13,0.175000
1986-08-12,0.175000
1986-11-12,0.175000
1987-02-11,0.175000
1987-03-09,0.418500
1987-05-04,0.175000
1987-09-04,0.246750
1988-02-29,0.486000
1988-08-22,0.287250
1989-03-06,0.505750
1989-05-26,0.207500
1989-08-21,0.200500
1989-11-17,0.197000
1990-03-05,0.227750
1990-05-21,0.265250
1990-08-27,0.250500
1990-11-26,0.265500
1991-03-04,0.284250
1991-05-24,0.245250
1991-08-19,0.244750
1991-11-18,0.253000
1992-03-02,0.301500
1992-05-22,0.301500
1992-08-17,0.160500
1992-11-20,0.130500
1993-02-22,0.102000
1993-05-24,0.123500
1993-08-23,0.118250
1993-11-19,0.115000
1994-02-18,0.115000
1994-05-23,0.140500
1994-08-19,0.139250
1994-11-17,0.153000
1995-03-03,0.176000
1995-05-26,0.180000
1995-08-18,0.240500
1995-11-17,0.177000
1996-02-23,0.192000
1996-05-17,0.204500
1996-08-16,0.289500
1996-11-15,0.308750
1997-02-19,0.321500
1997-05-14,0.318500
1997-08-13,0.336500
1997-11-12,0.346000
1998-02-18,0.352000
1998-05-13,0.359500
1998-08-12,0.365500
1998-11-10,0.302500
1999-03-03,0.302500
1999-05-19,0.307500
1999-08-18,0.333500
1999-11-17,0.333000
2000-02-23,0.333000
2000-05-17,0.333000
2000-08-16,0.333000
2000-11-15,0.350000
2001-02-21,0.350000
2001-05-16,0.350000
2001-08-15,0.367000
2001-11-14,0.367000
2002-02-20,0.383000
2002-05-15,0.383000
2002-08-14,0.400000
2002-11-13,0.400000
2003-02-26,0.417000
2003-05-14,0.375000
2003-08-13,0.433000
2003-11-12,0.433000
2004-02-18,0.450000
2004-05-12,0.405000
2004-08-11,0.426000
2004-11-09,0.426000
2005-02-16,0.510000
2005-05-11,0.510000
2005-08-10,0.536000
2005-11-08,0.536000
2006-02-22,0.563000
2006-05-10,0.563000
2006-08-09,0.590000
2006-11-08,0.590000
2007-02-21,0.620000
2007-05-09,0.620000
2007-08-08,0.650000
2007-11-07,0.650000
2008-02-20,0.812000
2008-05-14,0.812000
2008-08-13,0.840000
2008-11-12,0.840000
2009-02-18,0.840000
2009-05-13,0.840000
2009-08-12,0.840000
2009-11-10,0.840000
2010-02-17,0.840000
2011-02-09,0.420000
2011-05-11,0.420000
2011-08-03,0.420000
2011-11-02,0.420000
2012-02-15,0.480000
2012-05-09,0.480000
2012-08-08,0.480000
2012-11-07,0.540000
2013-02-13,0.540000
2013-05-08,0.540000
2013-08-07,0.540000
2013-11-06,0.570000
2014-02-12,0.570000
2014-05-07,0.585000
2014-08-06,0.585000
2014-11-05,0.600000
2015-02-11,0.600000
2015-05-06,0.600000
2015-08-05,0.600000
2015-11-04,0.600000
2016-02-10,0.600000
2016-05-04,0.600000
2016-08-03,0.600000
2016-11-08,0.600000
2017-02-15,0.600000
2017-05-10,0.600000
2017-08-09,0.600000
2017-11-09,0.600000
2018-02-15,0.600000
2018-05-10,0.600000
2018-08-09,0.615000
2018-11-08,0.615000
2019-02-14,0.615000
2019-05-09,0.615000
2019-08-08,0.615000
2019-11-07,0.615000
2020-02-13,0.630000
2020-05-08,0.630000
2020-08-13,0.315000
2020-11-05,0.315000
2021-02-18,0.315000
2021-05-06,0.315000
2021-08-12,0.328000
2021-11-10,0.328000
2022-02-17,0.328000
2022-05-12,0.328000
2022-08-11,0.360000
2022-11-09,0.360000
2023-02-16,0.397000
2023-05-11,0.397000
