Date,Dividends
2007-02-22,0.060000
2007-06-18,0.060000
2007-09-17,0.080000
2007-12-17,0.080000
2008-03-31,0.080000
2008-06-16,0.080000
2008-09-15,0.100000
2008-12-15,0.100000
2009-03-30,0.100000
2009-06-15,0.100000
2009-09-04,0.125000
2009-12-14,0.125000
2010-03-29,0.160000
2010-06-07,0.160000
2010-09-03,0.160000
2010-12-06,2.200000
2011-03-28,0.200000
2011-06-06,0.200000
2011-09-02,0.200000
2011-12-12,0.200000
2012-03-26,0.200000
2012-06-04,0.200000
2012-08-31,0.200000
2012-12-10,1.400000
2013-04-01,0.200000
2013-06-10,0.200000
2013-09-09,0.200000
2013-12-16,0.200000
2014-03-31,0.225000
2014-06-09,0.225000
2014-09-08,0.225000
2014-12-15,0.225000
2015-03-30,0.225000
2015-06-15,0.225000
2015-09-04,0.225000
2015-12-07,0.225000
2016-03-28,0.225000
2016-06-06,0.225000
2016-09-02,0.225000
2016-12-12,0.225000
2017-03-27,0.225000
2017-06-05,0.225000
2017-09-01,0.225000
2017-12-12,0.225000
2018-04-03,0.225000
2018-06-12,0.225000
2018-09-11,0.225000
2018-12-11,0.225000
2019-04-02,0.225000
2019-06-18,0.113000
2019-09-10,0.113000
2019-12-10,0.113000
2020-09-15,0.113000
2020-12-15,0.113000
2021-04-13,0.113000
2021-06-08,0.113000
2021-09-07,0.113000
2021-12-07,0.225000
2022-03-29,0.225000
2022-06-07,0.225000
2022-09-06,0.225000
2022-12-06,0.225000
2023-03-28,0.225000
2023-06-06,0.300000
