Date,Dividends
2009-09-22,0.125000
2009-10-20,0.125000
2009-11-19,0.125000
2009-12-18,0.125000
2010-01-20,0.125000
2010-02-16,0.125000
2010-03-18,0.125000
2010-04-20,0.125000
2010-05-18,0.125000
2010-06-18,0.125000
2010-07-20,0.125000
2010-08-19,0.125000
2010-09-21,0.125000
2010-10-20,0.125000
2010-11-18,0.125000
2010-12-21,0.125000
2011-01-20,0.125000
2011-02-16,0.125000
2011-03-22,0.125000
2011-04-19,0.125000
2011-05-20,0.125000
2011-06-21,0.125000
2011-07-20,0.125000
2011-08-22,0.125000
2011-09-21,0.125000
2011-10-20,0.125000
2011-11-18,0.125000
2011-12-21,0.125000
2012-01-20,0.125000
2012-02-17,0.125000
2012-03-21,0.125000
2012-04-19,0.125000
2012-05-21,0.125000
2012-06-20,0.125000
2012-07-20,0.125000
2012-08-22,0.125000
2012-09-20,0.125000
2012-10-22,0.125000
2012-11-20,0.125000
2012-12-19,0.125000
2013-01-22,0.125000
2013-02-19,0.125000
2013-03-19,0.125000
2013-04-19,0.125000
2013-05-21,0.125000
2013-06-19,0.125000
2013-07-22,0.125000
2013-08-21,0.125000
2013-09-19,0.125000
2013-10-22,0.125000
2013-11-20,0.125000
2013-12-20,0.125000
2014-01-22,0.125000
2014-02-19,0.125000
2014-03-20,0.125000
2014-04-21,0.125000
2014-05-20,0.125000
2014-06-19,0.125000
2014-07-22,0.125000
2014-08-20,0.125000
2014-09-19,0.125000
2014-10-22,0.125000
2014-11-19,0.125000
2014-12-22,1.375000
2015-01-21,0.125000
2015-02-18,0.125000
2015-03-20,0.138000
2015-04-21,0.138000
2015-05-20,0.138000
2015-06-19,0.138000
2015-07-22,0.138000
2015-08-20,0.138000
2015-09-21,0.138000
2015-10-21,0.138000
2015-11-19,0.138000
2015-12-22,0.138000
2016-01-20,0.138000
2016-02-18,0.138000
2016-03-22,0.125000
2016-04-20,0.125000
2016-05-20,0.125000
2016-06-21,0.125000
2016-07-20,0.125000
2016-08-22,0.125000
2016-09-21,0.125000
2016-10-20,0.125000
2016-11-21,0.125000
2016-12-21,0.125000
2017-01-20,0.125000
2017-02-17,0.125000
2017-03-22,0.125000
2017-04-19,0.125000
2017-05-22,0.125000
2017-06-21,0.125000
2017-07-20,0.125000
2017-08-22,0.125000
2017-09-21,0.125000
2017-10-23,0.125000
2017-11-21,0.125000
2017-12-21,0.125000
2018-01-23,0.125000
2018-02-20,0.125000
2018-03-21,0.125000
2018-04-20,0.125000
2018-05-23,0.125000
2018-06-21,0.125000
2018-07-23,0.125000
2018-08-23,0.125000
2018-09-20,0.125000
2018-10-23,0.125000
2018-11-21,0.125000
2018-12-21,0.125000
2019-01-23,0.125000
2019-02-20,0.125000
2019-03-21,0.125000
2019-04-22,0.125000
2019-05-23,0.125000
2019-06-20,0.125000
2019-07-23,0.125000
2019-08-22,0.125000
2019-09-20,0.125000
2019-10-23,0.125000
2019-11-21,0.125000
2019-12-23,0.125000
2020-01-23,0.125000
2020-02-20,0.125000
2020-03-23,0.125000
2020-04-22,0.125000
2020-05-21,0.125000
2020-06-22,0.050000
2020-07-23,0.050000
2020-08-21,0.050000
2020-09-22,0.050000
2020-10-22,0.050000
2020-11-20,0.050000
2020-12-23,0.050000
2021-01-21,0.050000
2021-02-18,0.050000
2021-03-23,0.050000
2021-04-22,0.050000
2021-05-20,0.050000
2021-06-22,0.050000
2021-07-22,0.050000
2021-08-23,0.060000
2021-09-22,0.060000
2021-10-21,0.060000
2021-11-22,0.060000
2021-12-22,0.060000
2022-01-21,0.060000
2022-02-17,0.105000
2022-03-23,0.105000
2022-04-21,0.105000
2022-05-23,0.105000
2022-06-22,0.105000
2022-07-21,0.105000
2022-08-23,0.105000
2022-09-22,0.105000
2022-10-21,0.105000
2022-11-22,0.105000
2022-12-22,0.105000
2023-01-23,0.105000
2023-02-17,0.105000
2023-03-23,0.105000
2023-04-20,0.105000
2023-05-23,0.105000
2023-06-22,0.105000
2023-07-21,0.105000
