Date,Dividends
2004-08-26,0.350000
2004-09-08,1.770000
2004-11-22,0.450000
2005-03-03,0.500000
2005-06-08,0.450000
2005-09-01,0.500000
2005-11-25,0.450000
2006-03-02,0.450000
2006-06-08,0.500000
2006-08-29,0.520000
2006-12-05,0.530000
2007-03-06,0.540000
2007-06-06,0.550000
2007-08-29,0.550000
2007-11-23,0.550000
2008-02-22,0.550000
2008-06-13,0.560000
2008-08-28,0.580000
2008-12-19,0.600000
2009-03-05,0.300000
2009-05-22,0.300000
2009-08-27,0.300000
2009-12-04,0.300000
2010-03-17,0.300000
2010-05-28,0.330000
2010-09-08,0.350000
2010-12-06,0.360000
2011-03-09,0.380000
2011-06-07,0.390000
2011-09-07,0.390000
2011-12-09,0.390000
2012-03-07,0.300000
2012-06-13,0.390000
2012-09-12,0.390000
2012-12-18,0.780000
2013-06-19,0.390000
2013-09-10,0.390000
2013-12-10,0.390000
2014-03-10,0.400000
2014-06-10,0.410000
2014-09-10,0.410000
2014-12-10,0.410000
2015-03-06,0.420000
2015-06-11,0.430000
2015-09-10,0.440000
2015-12-08,0.450000
2016-03-14,0.450000
2016-06-10,0.450000
2016-09-08,0.450000
2016-12-08,0.450000
2017-03-14,0.450000
2017-06-14,0.450000
2017-09-14,0.350000
2017-12-08,0.350000
2018-03-16,0.350000
2018-06-14,0.350000
2018-09-13,0.350000
2018-12-11,0.350000
2019-09-11,0.350000
2019-12-13,0.350000
2020-03-10,0.350000
2020-06-17,0.250000
2020-09-16,0.250000
2020-12-11,0.150000
2021-03-12,0.150000
2021-06-11,0.150000
2021-09-14,0.150000
2021-12-14,0.180000
2022-03-15,0.200000
2022-06-14,0.220000
2022-09-14,0.230000
2022-12-13,0.230000
2023-03-14,0.240000
2023-06-15,0.240000
