Date,Dividends
2003-12-31,0.117000
2004-04-01,0.520000
2004-05-03,0.544000
2004-06-01,0.686000
2004-07-01,0.412000
2004-08-02,0.540000
2004-09-01,0.426000
2004-11-01,0.168000
2004-12-01,0.273000
2004-12-31,0.575000
2005-02-01,0.162000
2005-04-01,0.297000
2005-05-02,0.419000
2005-06-01,0.612000
2005-07-01,0.687000
2005-08-01,0.673000
2005-09-01,0.417000
2005-10-03,0.313000
2005-11-01,0.432000
2005-12-01,1.190000
2005-12-28,0.376000
2006-04-03,0.515000
2006-05-01,0.495000
2006-06-01,0.554000
2006-07-03,0.556000
2006-08-01,0.562000
2006-09-01,0.572000
2006-10-02,0.456000
2006-11-01,0.563000
2007-03-01,0.278000
2007-04-02,0.369000
2007-05-01,0.386000
2007-06-01,0.447000
2007-07-02,0.437000
2007-08-01,0.445000
2007-09-04,0.440000
2007-10-01,0.415000
2007-11-01,0.320000
2007-12-03,0.425000
2007-12-27,0.531000
2008-02-01,0.561000
2008-03-03,0.516000
2008-04-01,0.632000
2008-04-03,0.632000
2008-05-01,0.444000
2008-06-02,0.826000
2008-07-01,0.727000
2008-08-01,0.934000
2008-09-02,0.815000
2008-10-01,0.800000
2009-04-01,0.474000
2009-05-01,0.623000
2009-06-01,0.371000
2009-07-01,0.389000
2009-08-03,0.429000
2009-09-01,0.920000
2009-10-01,0.047000
2009-11-02,0.342000
2009-12-01,0.208000
2009-12-29,0.239000
2010-02-01,0.208000
2010-03-01,0.004000
2010-04-01,0.442000
2010-05-03,0.163000
2010-06-01,0.541000
2010-07-01,0.281000
2010-08-02,0.192000
2010-09-01,0.030000
2010-10-01,0.135000
2010-11-01,0.255000
2010-12-01,0.179000
2010-12-28,0.263000
2011-02-01,0.164000
2011-03-01,0.274000
2011-04-01,0.582000
2011-05-02,0.594000
2011-06-01,1.049000
2011-07-01,0.755000
2011-08-01,0.581000
2011-09-01,0.010000
2011-10-03,0.173000
2011-11-01,0.360000
2011-12-01,0.241000
2012-04-02,0.324000
2012-05-01,0.426000
2012-06-01,0.804000
2012-07-02,0.354000
2012-11-01,0.292000
2012-12-03,0.485000
2012-12-26,0.009000
2013-04-01,0.080000
2013-05-01,0.311000
2013-06-03,0.293000
2013-07-01,0.149000
2013-08-01,0.070000
2013-09-03,0.103000
2013-10-01,0.047000
2013-11-01,0.118000
2013-12-02,0.090000
2014-05-01,0.258000
2014-06-02,0.655000
2014-07-01,0.344000
2014-08-01,0.356000
2014-09-02,0.194000
2014-12-01,0.060000
2015-09-01,0.308000
2015-10-01,0.062000
2016-06-01,0.036000
2016-07-01,0.512000
2016-08-01,0.461000
2016-09-01,0.418000
2016-12-01,0.244000
2017-04-03,0.155000
2017-05-01,0.284000
2017-06-01,0.258000
2017-07-03,0.292000
2017-08-01,0.217000
2017-09-01,0.237000
2017-10-02,0.048000
2017-11-01,0.218000
2017-12-01,0.501000
2017-12-21,0.156000
2018-02-01,0.021000
2018-04-02,0.292000
2018-05-01,0.499000
2018-06-01,0.336000
2018-07-02,0.431000
2018-08-01,0.468000
2018-09-04,0.386000
2018-10-01,0.101000
2018-11-01,0.091000
2018-12-03,0.155000
2018-12-18,0.184000
2019-05-01,0.035000
2019-06-03,0.639000
2019-07-01,0.612000
2019-08-01,0.270000
2019-09-03,0.059000
2019-10-01,0.196000
2019-11-01,0.020000
2019-12-02,0.104000
2019-12-19,0.109000
2020-02-03,0.127000
2020-04-01,0.176000
2020-05-01,0.298000
2020-10-01,0.417000
2020-11-02,0.318000
2020-12-01,0.133000
2020-12-17,0.023000
2021-04-01,0.300000
2021-05-03,0.515000
2021-06-01,0.681000
2021-07-01,0.833000
2021-08-02,0.777000
2021-09-01,0.896000
2021-10-01,0.432000
2021-11-01,0.122000
2021-12-01,0.186000
2021-12-16,0.786000
2022-02-01,0.439000
2022-03-01,0.229000
2022-04-01,0.798000
2022-05-02,0.938000
2022-06-01,1.367000
2022-07-01,0.565000
2022-08-01,1.154000
2022-09-01,1.438000
2022-12-01,0.131000
2022-12-15,0.349000
2023-04-03,0.127000
2023-05-01,0.569000
2023-06-01,0.313000
2023-07-03,0.504000
