Date,Dividends
1987-02-05,0.065000
1987-05-05,0.065000
1987-08-05,0.065000
1987-11-04,0.070000
1988-02-04,0.070000
1988-05-05,0.070000
1988-08-04,0.070000
1988-11-03,0.075000
1989-02-02,0.075000
1989-05-04,0.080000
1989-08-04,0.080000
1989-11-08,0.085000
1990-02-01,0.085000
1990-05-03,0.085000
1990-08-02,0.085000
1990-11-07,0.090000
1991-02-05,0.090000
1991-04-30,0.090000
1991-08-06,0.090000
1991-11-05,0.095000
1992-01-28,0.095000
1992-05-05,0.095000
1992-08-04,0.095000
1992-11-03,0.105000
1993-02-02,0.105000
1993-05-04,0.120000
1993-08-03,0.120000
1993-11-02,0.130000
1994-02-01,0.130000
1994-05-03,0.140000
1994-08-02,0.140000
1994-10-28,0.162000
1995-01-31,0.162000
1995-05-02,0.170000
1995-08-03,0.170000
1995-11-08,0.180000
1996-02-08,0.180000
1996-05-02,0.180000
1996-08-08,0.180000
1996-11-06,0.190000
1997-02-06,0.190000
1997-05-08,0.190000
1997-08-07,0.190000
1997-11-06,0.190000
1998-02-05,0.190000
1998-05-07,0.190000
1998-08-06,0.190000
1998-11-04,0.190000
1999-02-04,0.190000
1999-05-06,0.190000
1999-08-05,0.190000
1999-11-03,0.200000
2000-02-03,0.200000
2000-05-04,0.200000
2000-08-03,0.200000
2000-11-08,0.210000
2001-02-08,0.210000
2001-05-03,0.210000
2001-08-02,0.210000
2002-02-07,0.210000
2002-05-02,0.210000
2002-08-08,0.210000
2002-11-07,0.210000
2003-02-06,0.210000
2003-05-08,0.210000
2003-08-07,0.210000
2003-11-06,0.210000
2004-02-05,0.210000
2004-05-06,0.210000
2004-08-05,0.210000
2004-11-04,0.210000
2005-02-03,0.210000
2005-05-05,0.210000
2005-08-04,0.210000
2005-11-02,0.210000
2006-02-08,0.210000
2006-05-09,0.210000
2006-08-03,0.210000
2006-11-08,0.210000
2007-02-08,0.210000
2007-05-09,0.210000
2007-08-08,0.210000
2007-11-07,0.210000
2008-02-07,0.210000
2008-05-08,0.210000
2008-08-07,0.210000
2008-11-05,0.210000
2009-02-05,0.210000
2009-05-14,0.050000
2009-08-06,0.050000
2009-11-05,0.050000
2010-02-04,0.050000
2010-05-06,0.050000
2010-08-05,0.050000
2010-11-04,0.060000
2011-02-04,0.060000
2011-05-06,0.060000
2011-08-05,0.060000
2011-11-04,0.070000
2012-02-02,0.070000
2012-05-03,0.070000
2012-08-02,0.070000
2012-11-07,0.080000
2013-02-07,0.080000
2013-05-02,0.080000
2013-08-08,0.080000
2013-11-06,0.100000
2014-02-07,0.100000
2014-05-08,0.100000
2014-08-07,0.100000
2014-11-06,0.120000
2015-02-06,0.120000
2015-05-07,0.120000
2015-08-06,0.120000
2015-11-05,0.140000
2016-02-04,0.140000
2016-05-05,0.140000
2016-08-04,0.140000
2016-11-03,0.160000
2017-02-07,0.160000
2017-05-08,0.160000
2017-08-03,0.160000
2017-11-08,0.180000
2018-02-07,0.180000
2018-05-09,0.180000
2018-08-08,0.180000
2018-11-07,0.200000
2019-02-08,0.200000
2019-05-09,0.200000
2019-08-08,0.200000
2019-11-08,0.220000
2020-02-07,0.220000
2020-05-08,0.220000
2020-08-05,0.220000
2020-11-09,0.240000
2021-02-09,0.240000
2021-05-10,0.240000
2021-07-30,0.240000
2021-11-05,0.260000
2022-02-10,0.260000
2022-05-10,0.260000
2022-08-10,0.260000
2022-11-08,0.280000
2023-02-08,0.280000
2023-05-09,0.280000
