Date,Dividends
2002-09-12,0.050000
2002-12-13,0.050000
2003-02-04,0.250000
2003-03-13,0.050000
2003-06-12,0.050000
2003-09-12,0.060000
2003-12-15,0.060000
2004-03-15,0.060000
2004-06-14,0.060000
2004-09-14,0.080000
2004-12-15,0.080000
2005-03-15,0.080000
2005-06-14,0.110000
2005-09-14,0.110000
2005-12-15,0.110000
2006-03-15,0.110000
2006-06-14,0.125000
2006-09-14,0.125000
2006-12-14,0.125000
2007-03-14,0.125000
2007-06-13,0.140000
2007-09-13,0.140000
2007-12-13,0.140000
2008-03-13,0.140000
2008-06-12,0.155000
2008-09-12,0.155000
2008-12-15,0.155000
2009-03-13,0.155000
2009-06-12,0.155000
2009-09-14,0.155000
2009-12-15,0.155000
2010-03-15,0.155000
2010-06-14,0.155000
2010-09-14,0.155000
2010-12-15,0.155000
2011-03-15,0.155000
2011-06-14,0.170000
2011-09-14,0.170000
2011-12-14,0.170000
2012-03-14,0.170000
2012-06-13,0.185000
2012-09-12,0.185000
2012-12-13,0.185000
2013-03-13,0.185000
2013-06-12,0.200000
2013-09-12,0.200000
2013-12-13,0.200000
2014-03-13,0.200000
2014-06-12,0.250000
2014-09-12,0.250000
2014-12-15,0.250000
2015-03-13,0.250000
2015-06-12,0.275000
2015-09-14,0.275000
2015-12-15,0.275000
2016-03-15,0.275000
2016-06-14,0.275000
2016-09-14,0.275000
2016-12-14,0.275000
2017-03-15,0.275000
2017-06-14,0.300000
2017-09-14,0.300000
2017-12-14,0.300000
2018-03-15,0.330000
2018-06-14,0.330000
2018-09-13,0.330000
2018-12-14,0.330000
2019-03-14,0.330000
2019-06-13,0.360000
2019-09-13,0.360000
2019-12-16,0.360000
2020-03-16,0.360000
2020-06-15,0.038000
2020-09-15,0.038000
2020-12-16,0.038000
2021-03-16,0.038000
2021-06-15,0.038000
2021-09-15,0.125000
2021-12-16,0.125000
2022-03-16,0.125000
2022-06-15,0.145000
2022-09-15,0.175000
2022-12-15,0.175000
2023-03-16,0.175000
2023-06-15,0.185000
