Date,Dividends
2017-10-02,0.118000
2017-12-01,0.118000
2017-12-28,0.128000
2018-02-05,0.118000
2018-03-05,0.118000
2018-04-04,0.118000
2018-05-03,0.118000
2018-06-05,0.118000
2018-07-05,0.117000
2018-08-03,0.117000
2018-09-06,0.117000
2018-10-03,0.117000
2018-11-05,0.115000
2018-12-06,0.115000
2018-12-28,0.115000
2019-02-05,0.115000
2019-03-05,0.115000
2019-04-03,0.115000
2019-05-03,0.115000
2019-06-05,0.115000
2019-07-03,0.115000
2019-08-05,0.115000
2019-09-05,0.114000
2019-10-03,0.114000
2019-11-05,0.114000
2019-12-04,0.114000
2019-12-30,0.114000
2020-02-05,0.114000
2020-03-04,0.114000
2020-04-03,0.114000
2020-05-05,0.114000
2020-06-03,0.114000
2020-07-06,0.114000
2020-08-05,0.109000
2020-09-03,0.109000
2020-10-05,0.109000
2020-11-04,0.109000
2020-12-03,0.109000
2020-12-30,0.109000
2021-02-03,0.109000
2021-03-03,0.109000
2021-04-05,0.109000
2021-05-05,0.109000
2021-06-03,0.109000
2021-07-06,0.109000
2021-08-04,0.109000
2021-09-03,0.113000
2021-10-05,0.109000
2021-11-03,0.109000
2021-12-03,0.109000
2021-12-30,0.109000
2022-02-03,0.109000
2022-03-03,0.109000
2022-04-05,0.109000
2022-05-04,0.109000
2022-06-03,0.109000
2022-07-06,0.109000
2022-08-03,0.105000
2022-09-06,0.105000
2022-10-05,0.105000
2022-11-03,0.105000
2022-12-05,0.105000
2022-12-29,0.105000
2023-02-03,0.105000
2023-03-03,0.105000
2023-04-05,0.105000
2023-05-03,0.105000
2023-07-06,0.105000
