Date,Dividends
1995-10-05,0.023837
1996-04-08,0.011919
1996-10-08,0.023837
1997-04-08,0.023837
1997-10-08,0.023837
1998-04-07,0.023837
1998-10-07,0.023837
1999-04-07,0.011919
1999-10-06,0.023837
2000-04-06,0.023837
2000-10-05,0.023837
2001-04-06,0.023837
2001-10-05,0.023837
2002-04-08,0.023837
2002-10-08,0.035756
2003-04-08,0.035756
2003-10-08,0.035756
2004-04-06,0.035756
2004-10-06,0.035756
2005-04-06,0.035756
2005-10-05,0.178780
2006-04-06,0.178780
2007-04-05,0.205597
2007-07-06,0.160902
2007-10-05,0.160902
2008-01-08,0.160902
2008-04-08,0.160902
2008-07-08,0.178780
2008-10-08,0.178780
2009-01-07,0.178780
2009-04-07,0.178780
2009-07-08,0.223475
2009-10-07,0.223475
2010-01-06,0.223475
2010-04-07,0.223475
2010-07-07,0.286048
2010-10-06,0.286048
2011-01-06,0.286048
2011-04-06,0.286048
2011-07-07,0.384377
2011-10-06,0.384377
2012-01-06,0.384377
2012-04-05,0.384377
2012-07-06,0.446950
2012-10-05,0.446950
2013-01-08,0.446950
2013-04-08,0.446950
2013-07-08,0.491645
2013-10-08,0.491645
2014-01-08,0.491645
2014-04-08,0.491645
2014-07-08,0.491645
2014-10-08,0.491645
2015-01-07,0.491645
2015-04-08,0.491645
2015-07-08,0.491645
2015-10-07,0.491645
2016-01-06,0.500000
2016-04-07,0.500000
2016-07-07,0.560000
2016-10-05,0.560000
2017-01-06,0.560000
2017-04-06,0.560000
2017-07-06,0.630000
2017-10-06,0.630000
2018-01-09,0.630000
2018-04-09,0.630000
2018-07-09,0.750000
2018-10-09,0.750000
2019-01-09,0.750000
2019-04-09,0.750000
2019-07-09,0.880000
2019-10-09,0.880000
2020-01-09,0.880000
2020-10-08,0.300000
2021-01-07,0.370000
2021-04-08,0.880000
2021-07-08,1.100000
2021-10-07,1.100000
2022-01-07,1.100000
2022-04-07,1.100000
2022-07-07,1.210000
2022-10-06,1.210000
2023-01-09,1.210000
2023-04-06,1.210000
2023-07-07,1.310000
