Date,Dividends
2000-05-18,0.210000
2000-11-20,0.215000
2001-05-17,0.215000
2001-11-21,0.215000
2002-05-16,0.230000
2002-11-18,0.255000
2003-05-21,0.270000
2003-11-20,0.295000
2004-05-20,0.315000
2004-11-18,0.325000
2005-05-19,0.350000
2005-11-16,0.360000
2006-05-17,0.360000
2006-11-16,0.370000
2007-05-17,0.370000
2007-11-20,0.390000
2008-05-21,0.390000
2008-11-19,0.410000
2009-05-20,0.410000
2009-11-19,0.430000
2010-05-20,0.440000
2010-11-17,0.470000
2011-05-19,0.480000
2011-11-17,0.520000
2012-05-17,0.530000
2012-11-20,0.570000
2013-05-22,0.540000
2013-11-26,0.580000
2014-05-22,0.550000
2014-11-20,0.580000
2015-05-21,0.530000
2015-11-13,0.610000
2016-05-19,0.550000
2016-11-17,0.610000
2017-05-18,0.560000
2017-11-17,0.610000
2018-05-18,0.580000
2018-11-23,0.630000
2019-05-24,0.670000
2019-11-22,0.720000
2020-05-21,0.670000
2020-11-20,0.720000
2021-05-21,0.700000
2021-11-19,0.740000
2022-05-20,0.720000
2022-11-18,0.780000
2023-01-20,1.000000
2023-05-19,0.730000
