Date,Dividends
2002-07-11,0.015237
2002-10-10,0.015237
2003-02-12,0.015237
2003-05-05,0.015237
2003-08-05,0.015237
2003-11-05,0.015237
2004-02-06,0.015237
2004-05-07,0.015237
2004-08-06,0.030475
2004-11-08,0.030475
2005-02-08,0.030475
2005-05-10,0.091425
2005-08-09,0.030475
2005-11-07,0.121900
2006-02-07,0.045712
2006-05-09,0.106662
2006-08-08,0.045712
2006-11-06,0.106662
2007-02-06,0.050000
2007-05-07,0.050000
2007-08-07,0.050000
2007-11-05,0.250000
2008-02-05,0.050000
2008-05-06,0.200000
2008-08-05,0.050000
2008-11-07,0.300000
2009-02-09,0.050000
2009-05-11,0.200000
2009-08-03,0.050000
2009-11-06,0.200000
2010-02-08,0.050000
2010-05-10,0.200000
2010-08-02,0.060000
2010-11-05,0.210000
2011-02-07,0.060000
2011-05-09,0.210000
2011-08-08,0.060000
2011-11-07,0.210000
2012-02-06,0.060000
2012-05-08,0.160000
2012-08-07,0.060000
2012-11-07,0.160000
2013-02-04,0.060000
2013-05-13,0.110000
2013-08-06,0.060000
2013-11-04,0.060000
2014-02-04,0.060000
2014-05-12,0.060000
2014-08-04,0.060000
2014-11-07,0.030000
2015-02-11,0.030000
2015-05-11,0.030000
2015-08-10,0.030000
2015-11-06,0.030000
2016-02-08,0.030000
2016-05-12,0.030000
2016-08-08,0.030000
2016-11-07,0.030000
2017-02-14,0.030000
2017-05-08,0.030000
2017-08-07,0.030000
2017-11-07,0.030000
2018-02-13,0.040000
2018-05-08,0.040000
2018-08-07,0.040000
2018-11-06,0.040000
2019-02-12,0.050000
2019-05-07,0.050000
2019-08-06,0.050000
2019-11-05,0.050000
2020-02-11,0.050000
2020-05-12,0.050000
2020-08-11,0.050000
2020-11-09,0.050000
2021-02-09,0.050000
2021-05-11,0.050000
2021-08-10,0.050000
2021-11-09,0.050000
2022-02-08,0.060000
2022-05-10,0.060000
2022-08-09,0.060000
2022-11-08,0.060000
2023-02-07,0.070000
2023-05-09,0.070000
