Date,Dividends
2017-07-21,0.100000
2017-08-22,0.100000
2017-09-21,0.100000
2017-10-20,0.100000
2017-11-21,0.110000
2017-12-21,0.160000
2018-01-23,0.125000
2018-02-21,0.125000
2018-03-22,0.125000
2018-04-20,0.125000
2018-05-22,0.125000
2018-06-21,0.125000
2018-07-20,0.125000
2018-08-21,0.125000
2018-09-14,0.125000
2018-10-23,0.125000
2018-11-21,0.125000
2018-12-18,0.125000
2019-01-23,0.125000
2019-02-21,0.125000
2019-03-21,0.125000
2019-04-23,0.125000
2019-05-21,0.125000
2019-06-14,0.125000
2019-07-23,0.125000
2019-08-21,0.120000
2019-09-25,0.120000
2019-10-22,0.110000
2019-11-21,0.105000
2019-12-13,0.100000
2020-01-22,0.095000
2020-02-21,0.095000
2020-03-26,0.095000
2020-04-21,0.095000
2020-05-21,0.095000
2020-06-25,0.095000
2020-07-21,0.095000
2020-08-21,0.095000
2020-09-24,0.095000
2020-10-21,0.095000
2020-11-24,0.095000
2020-12-24,0.095000
2021-01-21,0.095000
2021-02-23,0.095000
2021-03-25,0.095000
2021-04-21,0.095000
2021-05-21,0.095000
2021-06-24,0.095000
2021-07-21,0.090000
2021-08-24,0.090000
2021-09-23,0.090000
2021-10-21,0.090000
2021-11-23,0.090000
2021-12-23,0.090000
2022-01-21,0.090000
2022-02-18,0.090000
2022-03-25,0.090000
2022-04-21,0.090000
2022-05-24,0.093000
2022-06-24,0.093000
2022-07-21,0.093000
2022-08-23,0.095000
2022-09-23,0.100000
2022-10-21,0.103000
2022-11-22,0.107000
2022-12-23,0.110000
2023-01-24,0.112000
2023-02-22,0.112000
2023-03-24,0.112000
2023-04-21,0.113000
2023-05-23,0.113000
2023-06-27,0.114000
2023-07-21,0.114000
