Date,Dividends
2005-11-29,1.500000
2006-06-28,3.000000
2006-11-14,0.650000
2007-02-20,0.650000
2007-05-15,1.650000
2007-08-14,0.650000
2007-11-06,0.650000
2008-02-21,0.650000
2008-05-15,0.250000
2008-08-12,0.250000
2008-11-12,0.250000
2009-03-13,1.250000
2009-05-18,0.250000
2009-08-12,0.250000
2009-11-13,0.250000
2010-03-15,0.250000
2010-05-18,0.250000
2010-08-17,0.250000
2010-11-16,1.250000
2011-03-15,0.250000
2011-05-18,0.250000
2011-08-17,0.250000
2011-11-16,0.250000
2012-03-14,0.250000
2012-05-16,0.250000
2012-08-15,0.125000
2012-11-14,0.125000
2013-03-13,0.125000
2013-05-16,0.125000
2013-08-15,0.125000
2013-11-18,0.125000
2014-03-14,0.125000
2014-05-20,0.125000
2014-08-15,0.125000
2014-11-14,0.125000
2015-03-16,0.125000
2015-05-20,0.125000
2015-08-17,0.125000
2015-11-16,0.250000
2016-03-16,0.125000
2016-05-19,0.125000
2016-08-17,0.125000
2016-11-16,0.125000
2016-12-30,0.250000
2017-03-15,0.125000
2017-05-19,0.125000
2017-08-16,0.125000
2017-11-16,0.125000
2018-03-15,0.125000
2018-05-24,0.125000
2018-08-16,0.125000
2018-11-15,0.125000
2019-03-14,0.125000
2019-05-23,0.125000
2019-08-15,0.125000
2019-11-14,0.125000
2020-03-13,0.125000
2020-05-21,0.125000
2020-08-14,0.125000
2020-11-13,0.125000
2021-03-15,0.125000
2021-05-24,0.125000
2021-08-16,0.125000
2021-11-15,0.125000
2022-03-15,0.313000
2022-05-24,0.313000
2022-08-16,0.313000
2022-11-15,0.313000
2023-03-15,0.313000
2023-05-24,0.313000
